alpha,gt_bin,initial_center_condition,stage,N_proposals,median_width_gt_ratio,median_abs_log_width_gt_ratio,across_alpha_variance_median_width_gt_ratio,across_alpha_range_median_width_gt_ratio,across_alpha_variance_median_abs_log_width_gt_ratio,across_alpha_range_median_abs_log_width_gt_ratio
0.5,20s+,<= 1s,initial,93,1.283572950146415,0.6176640023970452,0.8145788503536784,2.4434655594242205,0.07584198463578254,0.7125700940937252
0.75,20s+,<= 1s,initial,93,1.9253594252196224,0.7312076738458415,0.8145788503536784,2.4434655594242205,0.07584198463578254,0.7125700940937252
1.0,20s+,<= 1s,initial,93,2.56714590029283,1.009697840896516,0.8145788503536784,2.4434655594242205,0.07584198463578254,0.7125700940937252
1.5,20s+,<= 1s,initial,93,3.7270385095706353,1.3302340964907704,0.8145788503536784,2.4434655594242205,0.07584198463578254,0.7125700940937252
0.5,20s+,<= 1s,decoder_layer1,93,0.7980615778973228,0.47772218934676647,0.07240351793266889,0.6881881529451312,0.08866621292584564,0.7392126993029533
0.75,20s+,<= 1s,decoder_layer1,93,0.9246483121229254,0.4056958589036474,0.07240351793266889,0.6881881529451312,0.08866621292584564,0.7392126993029533
1.0,20s+,<= 1s,decoder_layer1,93,0.9012371526280446,0.5032457923298471,0.07240351793266889,0.6881881529451312,0.08866621292584564,0.7392126993029533
1.5,20s+,<= 1s,decoder_layer1,93,1.486249730842454,1.1449085582066008,0.07240351793266889,0.6881881529451312,0.08866621292584564,0.7392126993029533
0.5,20s+,<= 1s,decoder_layer2,93,0.4089290674775839,0.8958057934419751,0.018167668920414774,0.3265943684141364,0.0760675621835242,0.672646253001178
0.75,20s+,<= 1s,decoder_layer2,93,0.46978753286859265,0.8369807327808926,0.018167668920414774,0.3265943684141364,0.0760675621835242,0.672646253001178
1.0,20s+,<= 1s,decoder_layer2,93,0.40979418087087266,0.8921002432028217,0.018167668920414774,0.3265943684141364,0.0760675621835242,0.672646253001178
1.5,20s+,<= 1s,decoder_layer2,93,0.7355234358917203,1.5096269857820706,0.018167668920414774,0.3265943684141364,0.0760675621835242,0.672646253001178
0.5,20s+,<= 1s,final_span,93,0.26214096178965907,1.3388728978051014,0.003784125190959442,0.16864901542929667,0.022943585616296336,0.38021724806206336
0.75,20s+,<= 1s,final_span,93,0.323056161403656,1.1299290965591426,0.003784125190959442,0.16864901542929667,0.022943585616296336,0.38021724806206336
1.0,20s+,<= 1s,final_span,93,0.3115840829908848,1.1660860478342658,0.003784125190959442,0.16864901542929667,0.022943585616296336,0.38021724806206336
1.5,20s+,<= 1s,final_span,93,0.43078997721895573,1.510146344621206,0.003784125190959442,0.16864901542929667,0.022943585616296336,0.38021724806206336
0.5,20s+,<= 2s,initial,213,1.1768568238107169,0.6472105614547295,0.7350811153250086,2.3196432212503946,0.0596686513447671,0.6351353429666259
0.75,20s+,<= 2s,initial,213,1.7652852357160755,0.7531646481499794,0.7350811153250086,2.3196432212503946,0.0596686513447671,0.6351353429666259
1.0,20s+,<= 2s,initial,213,2.3537134302825464,0.9916919930159929,0.7350811153250086,2.3196432212503946,0.0596686513447671,0.6351353429666259
1.5,20s+,<= 2s,initial,213,3.4965000450611115,1.2823459044213554,0.7350811153250086,2.3196432212503946,0.0596686513447671,0.6351353429666259
0.5,20s+,<= 2s,decoder_layer1,213,0.8218622803688049,0.5356568810740904,0.06655798008682572,0.6643874504736491,0.049000335383815825,0.5548171459928812
0.75,20s+,<= 2s,decoder_layer1,213,0.9917063244751522,0.49118137383786126,0.06655798008682572,0.6643874504736491,0.049000335383815825,0.5548171459928812
1.0,20s+,<= 2s,decoder_layer1,213,0.906876534819603,0.602112914596809,0.06655798008682572,0.6643874504736491,0.049000335383815825,0.5548171459928812
1.5,20s+,<= 2s,decoder_layer1,213,1.486249730842454,1.0459985198307424,0.06655798008682572,0.6643874504736491,0.049000335383815825,0.5548171459928812
0.5,20s+,<= 2s,decoder_layer2,213,0.4659314077524912,0.8095378906036078,0.016812789182123568,0.33347330542353837,0.0711773741249026,0.6703826445343618
0.75,20s+,<= 2s,decoder_layer2,213,0.49401847755207734,0.751605684368,0.016812789182123568,0.33347330542353837,0.0711773741249026,0.6703826445343618
1.0,20s+,<= 2s,decoder_layer2,213,0.4193254817615856,0.8863363224108058,0.016812789182123568,0.33347330542353837,0.0711773741249026,0.6703826445343618
