qid,duration_bin,cohort,audio_duration_sec,gt_duration_sec,full_center_hit10_2s,hard25_center_hit10_2s,gt_only_center_hit10_2s,full_oracle10_iou07,hard25_oracle10_iou07,gt_only_oracle10_iou07,full_width_gt_ratio,hard25_width_gt_ratio,gt_only_width_gt_ratio,hard_minus_full_center_pp,hard_minus_full_oracle_pp,hard_minus_full_width_gt_ratio
V8A0VRGdgwM_1,2-5s,control,77.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.25,1.25,1.75,0.0,-100.0,0.0
V8A0VRGdgwM_2,2-5s,harmful,77.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.5,0.0,0.0,3.0
VE6Ku0-ucUM_1,2-5s,control,66.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0
VE6Ku0-ucUM_2,2-5s,control,66.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.6666666666666667,0.0,100.0,0.0
VE6Ku0-ucUM_3,2-5s,control,66.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,0.5,0.0,0.0,1.0
VZLZ08k3YeA_1,2-5s,control,142.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
VZLZ08k3YeA_3,0-2s,harmful,142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0
VZLZ08k3YeA_4,2-5s,control,142.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,2.75,4.0,0.0,0.0,1.25
VjSEIRnLAh8_2,2-5s,control,300.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.5,0.0,0.0,0.0,-1.5
VjSEIRnLAh8_4,2-5s,harmful,300.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.5,0.5,0.0,0.0,-2.5
WCYfCfW9NA0_4,2-5s,control,281.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.3333333333333333,0.0,0.0,3.0
WUpeplQr3A4_1,2-5s,harmful,300.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,7.5,-100.0,0.0,0.0
WUyeFOyKIg0_1,2-5s,harmful,299.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.5,0.0,0.0,0.0,0.5
WUyeFOyKIg0_2,2-5s,control,299.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,0.3333333333333333,0.0,0.0,0.0
Wq4OD3olO2w_1,2-5s,control,299.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.5,3.5,7.0,0.0,0.0,0.0
WqXFAY4k79s_1,2-5s,control,300.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,4.333333333333333,3.6666666666666665,5.0,0.0,0.0,-0.6666666666666665
XZTt1xdK8uQ_1,0-2s,control,140.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,13.0,26.0,100.0,0.0,5.0
YflmW68gL4E_2,2-5s,control,285.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.5,5.0,6.0,0.0,0.0,1.5
Z1Cyj4N05lk_3,2-5s,control,299.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.5,2.5,0.0,0.0,-6.5
Z3wDry8nnJs_1,2-5s,control,90.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.0,0.0,0.6666666666666667
Z3wDry8nnJs_3,2-5s,control,90.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.5,2.0,0.0,0.0,-100.0,0.5
ZBtgrP4vU_w_2,2-5s,harmful,300.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.5,45.0,0.0,0.0,3.5
ZTYAQBnU4GM_1,2-5s,control,114.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.5,0.0,0.0,0.0,-0.5
ZUmZgPL0ges_3,2-5s,control,168.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,-3.0
Z_smJ66Tb3c_1,2-5s,control,201.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,1.75,0.0,0.0,0.0
Z_smJ66Tb3c_3,0-2s,control,201.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,1.0,0.0,0.0,2.0
Zsf2YvJfCKw_1,2-5s,control,135.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.5,1.5,2.5,0.0,0.0,-1.0
_AcJVyToQUQ_1,2-5s,control,115.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.5,0.0,0.0,0.0
_BSmz3SEW1w_1,2-5s,control,133.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5,2.0,0.5,100.0,0.0,-0.5
_BSmz3SEW1w_2,2-5s,control,133.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,4.333333333333333,0.0,0.0,0.0,0.33333333333333304
_C2HinL8VlM_1,2-5s,control,73.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,0.0,0.0,0.25
_YS5uKWoB6g_2,0-2s,harmful,237.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,77.0,16.0,0.0,0.0,60.0
_YS5uKWoB6g_5,0-2s,control,237.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,28.0,6.0,0.0,0.0,16.0
_ezm-TpKj1w_1,2-5s,control,130.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
_oKXrY5Ff0g_3,2-5s,harmful,82.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
aMhu5eMQAsI_3,2-5s,harmful,170.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.3333333333333335,1.0,0.0,0.0,-0.6666666666666665
aZAXO2WZn84_2,2-5s,control,300.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.25,3.25,0.0,0.0,0.25
aZAXO2WZn84_4,2-5s,control,300.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,6.333333333333333,18.333333333333332,100.0,0.0,1.333333333333333
aZAXO2WZn84_5,0-2s,harmful,300.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,20.0,0.0,-100.0,0.0,6.0
ajheseWZmmU_2,2-5s,control,122.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.5,0.0,0.0,0.0,0.5
b1PXsfgQw5w_1,0-2s,control,297.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,13.0,11.0,0.0,0.0,3.0
b1PXsfgQw5w_2,0-2s,control,297.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,1.0,0.0,0.0,-2.0
bUTOsLXYyxg_1,2-5s,harmful,300.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.0,8.0,0.0,0.0,-0.5
bX2vDaHL26U_1,2-5s,control,74.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,100.0,-0.33333333333333337
bX2vDaHL26U_2,0-2s,control,74.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,-3.0
bgbnu5YKTDg_4,2-5s,control,198.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,6.333333333333333,5.666666666666667,5.333333333333333,0.0,0.0,-0.6666666666666661
bpv_LneHmfU_1,2-5s,control,138.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.3333333333333335,1.6666666666666667,0.0,0.0,0.6666666666666667
cPiSd5nJLrI_1,2-5s,harmful,60.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,4.5,1.5,0.0,0.0,-2.5
cPiSd5nJLrI_2,2-5s,control,60.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
cz0FSQDVBMw_2,0-2s,harmful,248.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,14.0,15.0,0.0,0.0,6.0
d6gu2w19YQo_1,2-5s,control,102.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.5,0.0,0.0,0.0
dYvL6uEMl6E_1,0-2s,control,178.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,-2.0
dkiwn2FdDVw_2,2-5s,control,300.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.5,17.0,0.0,0.0,1.5
dkiwn2FdDVw_3,0-2s,control,300.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,26.0,21.0,100.0,0.0,14.0
dkiwn2FdDVw_4,2-5s,harmful,300.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.333333333333333,0.3333333333333333,0.0,0.0,1.333333333333333
e2rScj9UyMs_2,0-2s,harmful,225.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,7.0,-100.0,0.0,10.0
eRU-rABp8nk_2,2-5s,harmful,299.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.5,0.5,-100.0,0.0,-1.5
eRU-rABp8nk_3,0-2s,control,299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,-4.0
eUecAF626A8_2,2-5s,harmful,299.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.6666666666666665,11.666666666666666,0.0,0.0,0.6666666666666665
eYbFtxZmKL4_1,2-5s,control,299.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.6666666666666665,1.0,100.0,0.0,-0.3333333333333335
elztUCeNQvQ_1,2-5s,control,299.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.25,2.0,5.5,0.0,0.0,-0.25
elztUCeNQvQ_2,2-5s,harmful,299.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,3.6666666666666665,4.0,-100.0,0.0,1.333333333333333
elztUCeNQvQ_5,2-5s,control,299.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,4.0,0.0,0.0,1.0
emGPabOePzA_1,2-5s,control,101.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,5.5,6.5,11.0,0.0,0.0,1.0
eu5bq0A3XVQ_2,2-5s,harmful,300.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.5,6.0,17.0,-100.0,0.0,0.5
eu5bq0A3XVQ_3,2-5s,harmful,300.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.6666666666666665,0.0,-100.0,0.0,0.33333333333333304
fGGYeXR_LS8_1,2-5s,control,127.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.75,1.0,1.0,0.0,0.0,0.25
fK4QBQZ6i7w_1,2-5s,harmful,299.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.75,3.0,0.5,-100.0,0.0,0.25
fPqj3nnwQOI_1,2-5s,control,280.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,5.0,6.333333333333333,0.0,0.0,-2.0
fPqj3nnwQOI_2,2-5s,control,280.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,17.0,9.5,16.5,0.0,0.0,-7.5
fPqj3nnwQOI_3,0-2s,harmful,280.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,26.0,36.0,0.0,0.0,6.0
fPqj3nnwQOI_4,0-2s,harmful,280.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,38.0,17.0,0.0,0.0,10.0
fWvWhLJ5Fow_1,2-5s,control,128.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.25,1.0,1.0,0.0,-100.0,-0.25
fWvWhLJ5Fow_3,2-5s,control,128.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.25,0.25,0.0,0.0,0.25
fYTZVxQ8LJk_2,2-5s,control,95.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.3333333333333333,3.0,0.3333333333333333,0.0,0.0,1.6666666666666667
fYTZVxQ8LJk_3,2-5s,control,95.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,2.0,0.5,0.0,0.0,0.5
fmEft49sPfE_2,2-5s,control,300.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.666666666666667,8.333333333333334,10.666666666666666,100.0,0.0,1.666666666666667
frOqlk0Wm5Y_1,0-2s,control,109.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,0.0
frOqlk0Wm5Y_3,2-5s,control,109.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.3333333333333333,7.0,5.333333333333333,0.0,-100.0,5.666666666666667
fwhkCnOeyC0_1,2-5s,control,299.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.5,5.5,0.0,0.0,0.5
fwhkCnOeyC0_3,2-5s,control,299.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.75,2.0,0.0,0.0,0.0,0.25
gW7s3YAthpI_1,2-5s,harmful,299.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,7.0,6.0,0.0,0.0,3.25
gW7s3YAthpI_2,2-5s,harmful,299.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,8.333333333333334,8.333333333333334,0.0,0.0,4.333333333333334
gbi6MxPf3hA_1,2-5s,control,65.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.25,1.0,4.5,0.0,0.0,-0.25
