condition,duration_bin,replicate,random_seed,N_queries,center_hit10_1s_pct,center_hit10_2s_pct,positive_overlap_candidate_top10_pct,oracle10_iou05_pct,oracle10_iou07_pct,r1_iou05_pct,r1_iou07_pct,median_final_center_error_sec,median_final_width_gt_ratio
RANDOM_25,10-20s,0,6488280316,251,56.17529880478087,75.69721115537848,97.60956175298804,69.32270916334662,34.26294820717131,32.27091633466135,13.94422310756972,5.0,1.0
RANDOM_25,10-20s,1,6488280317,251,55.77689243027888,74.10358565737052,98.40637450199203,71.31474103585657,33.86454183266932,31.47410358565737,13.545816733067728,4.0,1.0
RANDOM_25,10-20s,2,6488280318,251,56.17529880478087,70.91633466135458,97.60956175298804,66.53386454183267,32.669322709163346,28.286852589641438,11.952191235059761,5.5,1.0
RANDOM_25,10-20s,3,6488280319,251,56.573705179282875,74.5019920318725,98.40637450199203,69.7211155378486,31.872509960159363,29.880478087649404,14.342629482071715,4.5,1.0
RANDOM_25,10-20s,4,6488280320,251,56.573705179282875,72.90836653386454,98.00796812749005,68.92430278884463,31.872509960159363,31.07569721115538,11.553784860557768,5.0,1.0
RANDOM_25,10-20s,5,6488280321,251,52.191235059760956,70.91633466135458,98.00796812749005,70.5179282868526,33.86454183266932,29.482071713147413,14.342629482071715,5.0,1.0
RANDOM_25,10-20s,6,6488280322,251,55.77689243027888,70.1195219123506,97.60956175298804,70.1195219123506,34.66135458167331,34.66135458167331,15.139442231075698,4.0,1.0
RANDOM_25,10-20s,7,6488280323,251,54.980079681274894,74.10358565737052,98.00796812749005,68.52589641434263,33.46613545816733,29.880478087649404,13.147410358565736,4.5,1.0
RANDOM_25,10-20s,8,6488280324,251,51.79282868525896,75.2988047808765,98.40637450199203,69.7211155378486,34.26294820717131,33.86454183266932,13.94422310756972,5.0,1.0
RANDOM_25,10-20s,9,6488280325,251,54.581673306772906,72.11155378486056,97.21115537848605,70.1195219123506,33.86454183266932,31.07569721115538,13.545816733067728,5.0,1.0
RANDOM_25,20s+,0,6488280316,357,39.77591036414566,57.98319327731093,100.0,69.74789915966386,39.49579831932773,33.89355742296919,11.204481792717088,11.5,0.4782608695652174
RANDOM_25,20s+,1,6488280317,357,40.61624649859944,54.061624649859944,99.71988795518207,70.86834733893558,40.33613445378151,33.0532212885154,12.044817927170868,11.0,0.47619047619047616
RANDOM_25,20s+,2,6488280318,357,40.056022408963585,58.543417366946784,99.71988795518207,67.78711484593838,39.21568627450981,34.73389355742297,12.324929971988796,11.0,0.48633879781420764
RANDOM_25,20s+,3,6488280319,357,39.21568627450981,55.182072829131656,99.43977591036415,67.22689075630252,42.57703081232493,33.89355742296919,13.445378151260504,11.0,0.4588235294117647
RANDOM_25,20s+,4,6488280320,357,36.97478991596639,52.10084033613446,99.15966386554622,68.0672268907563,38.095238095238095,33.89355742296919,12.324929971988796,11.5,0.5
RANDOM_25,20s+,5,6488280321,357,36.97478991596639,54.621848739495796,99.71988795518207,70.30812324929971,39.49579831932773,34.173669467787114,12.605042016806722,11.0,0.4827586206896552
RANDOM_25,20s+,6,6488280322,357,37.81512605042017,51.820728291316534,99.15966386554622,69.74789915966386,40.61624649859944,34.73389355742297,13.445378151260504,11.0,0.4827586206896552
