qid,vid,duration_sec,audio_duration_sec,gt_duration_sec,duration_bin,condition,replicate,random_seed,gt_token_count,valid_token_count,effective_accessible_tokens,effective_distractor_count,center_hit10_1s,center_hit10_2s,positive_overlap_candidate_top10,oracle10_iou05,oracle10_iou07,r1_iou05,r1_iou07,top1_iou07_success,final_center_error_sec,final_width_gt_ratio
nD1K1Zo0qrM_5,nD1K1Zo0qrM,299.0,299.0,16.0,10-20s,HARD_50,0,,16,299,158,142,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,110.0,6.875
nLtNjMimLE0_1,nLtNjMimLE0,299.0,299.0,4.0,2-5s,HARD_50,0,,4,299,152,148,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,191.5,11.25
nLtNjMimLE0_2,nLtNjMimLE0,299.0,299.0,16.0,10-20s,HARD_50,0,,22,299,161,139,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,142.5,0.6875
iOCpICiu4LA_1,iOCpICiu4LA,299.0,299.0,6.0,5-10s,HARD_100,0,,6,299,299,293,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,2.1666666666666665
iOCpICiu4LA_2,iOCpICiu4LA,299.0,299.0,3.0,2-5s,HARD_100,0,,3,299,299,296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.333333333333333
iOCpICiu4LA_3,iOCpICiu4LA,299.0,299.0,6.0,5-10s,HARD_100,0,,10,299,299,289,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5
ii3Geza3hAU_1,ii3Geza3hAU,255.0,255.0,20.0,20s+,HARD_100,0,,48,255,255,207,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.5,1.25
ilspW7JRjAg_1,ilspW7JRjAg,208.0,208.0,1.0,0-2s,HARD_100,0,,1,208,208,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,38.0
ilspW7JRjAg_2,ilspW7JRjAg,208.0,208.0,10.0,10-20s,HARD_100,0,,33,208,208,175,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.5,0.7
inSvboaSRwA_1,inSvboaSRwA,299.0,299.0,15.0,10-20s,HARD_100,0,,15,299,299,284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667
inSvboaSRwA_2,inSvboaSRwA,299.0,299.0,1.0,0-2s,HARD_100,0,,1,299,299,298,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,216.0,9.0
