qid,vid,duration_bin,gt_duration_sec,audio_duration_sec,hard_center_hit10_2s,random25_center_hit10_2s_mean,hard_minus_random_center,cohort,p3_location_failure,condition,active_layer,removed_token_count,full_center_hit10_2s,intervention_center_hit10_2s,intervention_minus_full_center_pp,intervention_oracle10_iou07,intervention_width_gt_ratio
GGgQR7aIofY_3,GGgQR7aIofY,2-5s,3.0,168.0,0.0,0.6,-0.6,harmful,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,20,0.0,0.0,0.0,0.0,1.3333333333333333
GOD8Bt5LfDE_2,GOD8Bt5LfDE,2-5s,3.0,129.0,0.0,0.2,-0.2,harmful,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,1,0.0,0.0,0.0,0.0,2.3333333333333335
GOD8Bt5LfDE_2,GOD8Bt5LfDE,2-5s,3.0,129.0,0.0,0.2,-0.2,harmful,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,1,0.0,0.0,0.0,0.0,2.3333333333333335
GOD8Bt5LfDE_2,GOD8Bt5LfDE,2-5s,3.0,129.0,0.0,0.2,-0.2,harmful,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,1,0.0,0.0,0.0,0.0,2.0
GOD8Bt5LfDE_2,GOD8Bt5LfDE,2-5s,3.0,129.0,0.0,0.2,-0.2,harmful,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,1,0.0,0.0,0.0,0.0,2.0
GOD8Bt5LfDE_3,GOD8Bt5LfDE,2-5s,2.0,129.0,1.0,0.7,0.30000000000000004,control,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,4,0.0,0.0,0.0,0.0,3.5
GOD8Bt5LfDE_3,GOD8Bt5LfDE,2-5s,2.0,129.0,1.0,0.7,0.30000000000000004,control,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,4,0.0,0.0,0.0,0.0,3.5
GOD8Bt5LfDE_3,GOD8Bt5LfDE,2-5s,2.0,129.0,1.0,0.7,0.30000000000000004,control,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,4,0.0,0.0,0.0,0.0,2.0
GOD8Bt5LfDE_3,GOD8Bt5LfDE,2-5s,2.0,129.0,1.0,0.7,0.30000000000000004,control,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,4,0.0,0.0,0.0,0.0,2.0
Gkb4f6yodPE_2,Gkb4f6yodPE,2-5s,3.0,299.0,0.0,0.8,-0.8,harmful,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,5,0.0,0.0,0.0,0.0,4.0
Gkb4f6yodPE_2,Gkb4f6yodPE,2-5s,3.0,299.0,0.0,0.8,-0.8,harmful,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,5,0.0,0.0,0.0,0.0,4.0
Gkb4f6yodPE_2,Gkb4f6yodPE,2-5s,3.0,299.0,0.0,0.8,-0.8,harmful,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,5,0.0,0.0,0.0,0.0,4.333333333333333
Gkb4f6yodPE_2,Gkb4f6yodPE,2-5s,3.0,299.0,0.0,0.8,-0.8,harmful,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,5,0.0,0.0,0.0,0.0,4.333333333333333
H7-orYrKBeo_1,H7-orYrKBeo,2-5s,4.0,93.0,1.0,0.6,0.4,control,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,21,0.0,1.0,100.0,0.0,12.25
H7-orYrKBeo_1,H7-orYrKBeo,2-5s,4.0,93.0,1.0,0.6,0.4,control,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,21,0.0,1.0,100.0,0.0,11.25
H7-orYrKBeo_1,H7-orYrKBeo,2-5s,4.0,93.0,1.0,0.6,0.4,control,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,21,0.0,0.0,0.0,0.0,6.0
H7-orYrKBeo_1,H7-orYrKBeo,2-5s,4.0,93.0,1.0,0.6,0.4,control,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,21,0.0,0.0,0.0,0.0,6.0
H7rd9bZtbgc_1,H7rd9bZtbgc,2-5s,3.0,299.0,1.0,1.0,0.0,control,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,3,0.0,0.0,0.0,0.0,3.3333333333333335
H7rd9bZtbgc_1,H7rd9bZtbgc,2-5s,3.0,299.0,1.0,1.0,0.0,control,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,3,0.0,0.0,0.0,0.0,3.3333333333333335
H7rd9bZtbgc_1,H7rd9bZtbgc,2-5s,3.0,299.0,1.0,1.0,0.0,control,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,3,0.0,0.0,0.0,0.0,3.3333333333333335
H7rd9bZtbgc_1,H7rd9bZtbgc,2-5s,3.0,299.0,1.0,1.0,0.0,control,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,3,0.0,0.0,0.0,0.0,3.3333333333333335
H7rd9bZtbgc_2,H7rd9bZtbgc,0-2s,1.0,299.0,1.0,0.0,1.0,control,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,4,0.0,0.0,0.0,0.0,155.0
H7rd9bZtbgc_2,H7rd9bZtbgc,0-2s,1.0,299.0,1.0,0.0,1.0,control,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,4,0.0,0.0,0.0,0.0,155.0
H7rd9bZtbgc_2,H7rd9bZtbgc,0-2s,1.0,299.0,1.0,0.0,1.0,control,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,4,0.0,0.0,0.0,0.0,155.0
H7rd9bZtbgc_2,H7rd9bZtbgc,0-2s,1.0,299.0,1.0,0.0,1.0,control,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,4,0.0,0.0,0.0,0.0,155.0
HVz-FJBf_iM_1,HVz-FJBf_iM,0-2s,1.0,67.0,1.0,1.0,0.0,control,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,3,1.0,1.0,0.0,0.0,4.0
HVz-FJBf_iM_1,HVz-FJBf_iM,0-2s,1.0,67.0,1.0,1.0,0.0,control,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,3,1.0,1.0,0.0,0.0,4.0
HVz-FJBf_iM_1,HVz-FJBf_iM,0-2s,1.0,67.0,1.0,1.0,0.0,control,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,3,1.0,1.0,0.0,0.0,4.0
HVz-FJBf_iM_1,HVz-FJBf_iM,0-2s,1.0,67.0,1.0,1.0,0.0,control,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,3,1.0,1.0,0.0,0.0,4.0
HdPSebdDxe4_1,HdPSebdDxe4,2-5s,2.0,121.0,1.0,1.0,0.0,control,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,4,1.0,1.0,0.0,0.0,2.0
HdPSebdDxe4_1,HdPSebdDxe4,2-5s,2.0,121.0,1.0,1.0,0.0,control,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,4,1.0,1.0,0.0,0.0,2.0
HdPSebdDxe4_1,HdPSebdDxe4,2-5s,2.0,121.0,1.0,1.0,0.0,control,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,4,1.0,1.0,0.0,0.0,2.0
HdPSebdDxe4_1,HdPSebdDxe4,2-5s,2.0,121.0,1.0,1.0,0.0,control,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,4,1.0,1.0,0.0,0.0,2.0
HdPSebdDxe4_4,HdPSebdDxe4,2-5s,4.0,121.0,1.0,0.9,0.09999999999999998,control,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,2,1.0,1.0,0.0,0.0,1.75
HdPSebdDxe4_4,HdPSebdDxe4,2-5s,4.0,121.0,1.0,0.9,0.09999999999999998,control,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,2,1.0,1.0,0.0,0.0,1.0
HdPSebdDxe4_4,HdPSebdDxe4,2-5s,4.0,121.0,1.0,0.9,0.09999999999999998,control,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,2,1.0,1.0,0.0,1.0,1.25
HdPSebdDxe4_4,HdPSebdDxe4,2-5s,4.0,121.0,1.0,0.9,0.09999999999999998,control,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,2,1.0,1.0,0.0,1.0,1.25
Hdxfbpnd2-8_3,Hdxfbpnd2-8,2-5s,2.0,299.0,0.0,0.9,-0.9,harmful,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,44,0.0,1.0,100.0,0.0,2.0
Hdxfbpnd2-8_3,Hdxfbpnd2-8,2-5s,2.0,299.0,0.0,0.9,-0.9,harmful,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,44,0.0,0.0,0.0,0.0,2.5
Hdxfbpnd2-8_3,Hdxfbpnd2-8,2-5s,2.0,299.0,0.0,0.9,-0.9,harmful,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,44,0.0,0.0,0.0,0.0,2.5
Hdxfbpnd2-8_3,Hdxfbpnd2-8,2-5s,2.0,299.0,0.0,0.9,-0.9,harmful,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,44,0.0,0.0,0.0,0.0,2.5
Hdxfbpnd2-8_4,Hdxfbpnd2-8,0-2s,1.0,299.0,0.0,0.3,-0.3,harmful,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,2,1.0,1.0,0.0,0.0,12.0
Hdxfbpnd2-8_4,Hdxfbpnd2-8,0-2s,1.0,299.0,0.0,0.3,-0.3,harmful,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,2,1.0,1.0,0.0,0.0,12.0
Hdxfbpnd2-8_4,Hdxfbpnd2-8,0-2s,1.0,299.0,0.0,0.3,-0.3,harmful,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,2,1.0,1.0,0.0,0.0,12.0
