variant,gt_bin,audio_duration_sec,N_proposals,median_final_abs_log_width_gt_ratio,median_final_width_gt_ratio,median_final_width_sec,N_audio_duration_strata,audio_duration_slope_abs_log_ratio_per_sec,audio_duration_slope_abs_log_ratio_per_100sec
baseline,10-20s,66.0,1,0.5391742498269588,1.7145904541015624,25.718856811523438,,,
baseline,10-20s,67.0,1,1.0066041466136042,0.36545791625976565,3.6545791625976562,,,
baseline,10-20s,70.0,2,1.0719876894101463,0.3429113534780649,4.094932556152344,,,
baseline,10-20s,74.0,2,1.3553368703962727,0.2655005888505415,2.920506477355957,,,
baseline,10-20s,76.0,4,0.6606816258825119,0.7987479368845621,9.584975242614746,,,
baseline,10-20s,77.0,1,1.5103879265363545,0.22082429773667278,3.7540130615234375,,,
baseline,10-20s,80.0,4,1.3557599544412757,0.2581024169921875,2.581024169921875,,,
baseline,10-20s,81.0,3,0.8574688234332452,0.4242345369779147,5.515048980712891,,,
baseline,10-20s,84.0,1,1.0117172667140661,0.36359405517578125,3.6359405517578125,,,
baseline,10-20s,85.0,1,0.5146051186730538,0.5977365830365349,10.161521911621094,,,
baseline,10-20s,96.0,1,0.8365162885888587,2.3083114624023438,27.699737548828125,,,
baseline,10-20s,105.0,1,1.1384252486981583,0.3203230539957682,4.804845809936523,,,
baseline,10-20s,110.0,2,1.361057948423349,0.2564942209344161,4.873390197753906,,,
baseline,10-20s,115.0,4,1.0517508280603387,0.3658024714543269,4.75543212890625,,,
baseline,10-20s,118.0,1,1.2579838898985085,0.28422648111979165,4.263397216796875,,,
baseline,10-20s,121.0,6,1.071772693809887,0.3424082279205322,3.4240822792053223,,,
baseline,10-20s,124.0,1,0.8422425960589964,0.4307434558868408,6.891895294189453,,,
baseline,10-20s,129.0,1,0.44051227501187695,0.643706581809304,7.080772399902344,,,
baseline,10-20s,132.0,3,0.38229288139441386,0.6822951923717152,7.505247116088867,,,
baseline,10-20s,134.0,1,0.770738142954503,2.16136105855306,25.93633270263672,,,
baseline,10-20s,142.0,2,1.3243366467104514,0.26635169982910156,4.527978897094727,,,
baseline,10-20s,143.0,3,0.7330534313748576,0.48043975830078123,4.8043975830078125,,,
baseline,10-20s,147.0,3,0.6280798873771085,1.8740088144938152,22.48810577392578,,,
baseline,10-20s,151.0,1,0.7090100016971027,2.0319786071777344,28.44770050048828,,,
baseline,10-20s,155.0,1,0.4984341906628144,0.6074811150045956,10.327178955078125,,,
baseline,10-20s,157.0,4,0.38833609642516864,0.6804430219862196,12.247974395751953,,,
baseline,10-20s,160.0,1,1.5054391666202163,0.22191981265419408,4.2164764404296875,,,
baseline,10-20s,163.0,1,0.1383810641297525,1.1484130859375,11.484130859375,,,
baseline,10-20s,176.0,1,1.1877519380940267,0.3049059416118421,5.793212890625,,,
baseline,10-20s,182.0,1,0.2212831317565342,1.2476766374376085,22.458179473876953,,,
baseline,10-20s,194.0,1,0.5194318142900188,0.5948584420340401,8.328018188476562,,,
baseline,10-20s,198.0,1,0.24728808144378114,0.7809156938032671,8.590072631835938,,,
baseline,10-20s,199.0,1,0.3040272234272423,0.7378407796223958,11.067611694335938,,,
baseline,10-20s,215.0,1,1.350154943630741,0.2592000961303711,3.8880014419555664,,,
baseline,10-20s,220.0,1,0.1477764322076756,0.8626239483173077,11.214111328125,,,
baseline,10-20s,230.0,2,0.34168406242807786,0.8188703843763658,9.557052612304688,,,
baseline,10-20s,238.0,1,0.1383066890703315,0.8708315762606534,9.579147338867188,,,
baseline,10-20s,247.0,1,1.0702268335505725,0.3429307204026442,4.458099365234375,,,
baseline,10-20s,258.0,1,2.0281594905473366,7.60008544921875,76.0008544921875,,,
baseline,10-20s,278.0,3,0.5819157047819691,0.5588267933238636,6.1470947265625,,,
baseline,10-20s,297.0,1,0.3131049151097826,0.7311731974283854,8.774078369140625,,,
baseline,10-20s,299.0,13,0.318989839764918,0.9070111443014706,15.051734924316406,,,
baseline,10-20s,300.0,15,0.47999883439211977,1.222821044921875,12.22821044921875,,,
baseline,20s+,61.0,1,1.9877493769444075,0.13700342178344727,3.2880821228027344,,,
baseline,20s+,62.0,1,0.19333543538819423,0.8242054600869456,25.550369262695312,,,
baseline,20s+,67.0,1,1.5586942371866457,0.2104106382890181,4.629034042358398,,,
baseline,20s+,71.0,3,1.6931693529786598,0.18393564224243164,5.8859405517578125,,,
baseline,20s+,73.0,1,3.6662641930374,0.025571823120117188,1.7388839721679688,,,
baseline,20s+,80.0,3,0.625918152141446,0.5347702026367187,10.695404052734375,,,
baseline,20s+,83.0,3,1.7687278997504718,0.17054980734120245,3.9226455688476562,,,
baseline,20s+,86.0,1,2.1536836918323417,0.11605585538423978,6.034904479980469,,,
baseline,20s+,97.0,2,1.4376691314020729,0.25137321446651595,6.282258987426758,,,
baseline,20s+,106.0,1,1.9547159344212583,0.14160469600132533,3.9649314880371094,,,
baseline,20s+,109.0,1,0.45158347037226076,0.6366192853009259,17.188720703125,,,
baseline,20s+,112.0,1,2.1776201755474958,0.1133108700022978,3.852569580078125,,,
baseline,20s+,115.0,1,2.6991180438884324,0.06726481119791666,2.0179443359375,,,
baseline,20s+,126.0,1,3.578242660356906,0.027924728393554688,1.1169891357421875,,,
baseline,20s+,128.0,1,2.7781751424391756,0.06215182217684659,1.367340087890625,,,
baseline,20s+,135.0,1,1.7660640688416862,0.17100472883744675,3.762104034423828,,,
baseline,20s+,137.0,1,2.0141011657744587,0.13344029017857142,3.736328125,,,
baseline,20s+,150.0,2,1.6718358238345132,0.21509666582603595,4.793052673339844,,,
baseline,20s+,162.0,1,2.2867642930087926,0.10159466114450008,4.774949073791504,,,
baseline,20s+,166.0,3,1.2395484354713677,0.28951492309570315,8.657779693603516,,,
baseline,20s+,168.0,3,0.9589332268961406,0.3833015637520032,14.948760986328125,,,
baseline,20s+,177.0,2,1.803836989177484,0.16791515080433972,8.899502992630005,,,
baseline,20s+,180.0,1,1.18215148491449,0.30661834370006213,6.745603561401367,,,
baseline,20s+,182.0,1,0.2322283454515381,0.7927650783372961,18.233596801757812,,,
baseline,20s+,186.0,2,0.3899840290434,1.0793172853802322,117.64558410644531,,,
baseline,20s+,188.0,1,1.262945810614193,0.28281966499660327,6.504852294921875,,,
baseline,20s+,198.0,1,0.7391908546014214,0.4775001262796336,13.847503662109375,,,
baseline,20s+,208.0,2,0.8026120517768371,0.4522656527432528,9.949844360351562,,,
baseline,20s+,209.0,1,0.8708641579048605,0.4185896653395433,10.883331298828125,,,
baseline,20s+,214.0,1,0.7290854102873082,0.48234994070870535,10.129348754882812,,,
baseline,20s+,239.0,2,0.8751583525926367,0.43691577911376955,8.73831558227539,,,
baseline,20s+,247.0,1,1.193827614165908,0.30305904812282985,10.910125732421875,,,
baseline,20s+,268.0,1,1.6667002920785277,0.18886925192440257,12.843109130859375,,,
baseline,20s+,282.0,2,1.9889651919723002,0.15704432896205356,5.496551513671875,,,
baseline,20s+,297.0,1,0.08586442014102433,1.089658582532728,40.31736755371094,,,
baseline,20s+,299.0,29,1.2228653369863323,0.2964927271792763,12.05169677734375,,,
baseline,20s+,300.0,20,0.7193586596334829,0.5056768798828125,14.309028625488281,,,
r1,0-2s,62.0,1,0.4041112460868883,1.4979705810546875,1.4979705810546875,,,
r1,0-2s,67.0,1,1.2237758804099286,3.4000015258789062,3.4000015258789062,,,
r1,0-2s,71.0,1,3.4848295492152856,32.61686706542969,32.61686706542969,,,
r1,0-2s,110.0,1,1.2095632278497368,3.352020263671875,3.352020263671875,,,
r1,0-2s,126.0,1,1.476817925990592,4.378989219665527,4.378989219665527,,,
r1,0-2s,140.0,1,1.8881727594578133,6.6072845458984375,6.6072845458984375,,,
r1,0-2s,147.0,1,1.6914740120891947,5.4274749755859375,5.4274749755859375,,,
r1,0-2s,223.0,1,2.093825340449173,8.115901947021484,8.115901947021484,,,
r1,0-2s,280.0,1,3.876931402239325,48.275848388671875,48.275848388671875,,,
r1,0-2s,300.0,3,2.685336296691226,14.663131713867188,14.663131713867188,,,
r1,2-5s,59.0,1,0.14839603143171157,1.1599721908569336,2.319944381713867,,,
r1,2-5s,61.0,4,1.0940405865878184,3.004383722941081,7.346462249755859,,,
r1,2-5s,62.0,2,1.3037292097907232,5.3386077880859375,20.621334075927734,,,
r1,2-5s,63.0,1,0.5230966746837321,1.6872444152832031,3.3744888305664062,,,
r1,2-5s,64.0,4,1.690760273644807,5.454044342041016,10.908088684082031,,,
r1,2-5s,65.0,5,0.18618346461215085,1.2046432495117188,3.8339080810546875,,,
r1,2-5s,68.0,1,0.07409912013898978,0.9285796483357748,2.785738945007324,,,
r1,2-5s,69.0,2,0.8248374980430908,2.405263900756836,5.585758209228516,,,
r1,2-5s,71.0,3,0.6384625648518705,1.893567403157552,5.680702209472656,,,
r1,2-5s,77.0,4,0.4125497969795161,1.3421807289123535,4.752094268798828,,,
r1,2-5s,82.0,2,0.21161272667117692,1.235753059387207,2.471506118774414,,,
r1,2-5s,83.0,2,0.705615175216154,2.139923731486003,6.419771194458008,,,
r1,2-5s,86.0,1,0.3857042890200406,1.4706497192382812,4.411949157714844,,,
r1,2-5s,88.0,1,1.446374005936219,4.247684478759766,12.743053436279297,,,
r1,2-5s,89.0,1,0.3584706253541048,1.4311389923095703,5.724555969238281,,,
r1,2-5s,90.0,3,0.4645830616155564,1.5913505554199219,4.0966949462890625,,,
r1,2-5s,96.0,5,0.6863761090442029,1.9865036010742188,3.9730072021484375,,,
r1,2-5s,97.0,4,0.3991579830090248,1.518681844075521,4.5560455322265625,,,
r1,2-5s,99.0,2,1.0281205677931033,2.8222951889038086,5.644590377807617,,,
r1,2-5s,102.0,2,0.6888316898873594,1.99884033203125,3.9976806640625,,,
r1,2-5s,105.0,4,0.26472660978669743,1.3068313598632812,5.227325439453125,,,
r1,2-5s,106.0,2,0.18878668544409988,1.2077980041503906,4.8311920166015625,,,
r1,2-5s,113.0,1,0.40934686014083327,1.5058339436848958,4.5175018310546875,,,
r1,2-5s,114.0,1,0.6527552801255264,1.9208259582519531,3.8416519165039062,,,
r1,2-5s,115.0,1,1.3824359902815293,3.9845962524414062,7.9691925048828125,,,
r1,2-5s,117.0,1,0.48699971616679316,1.6274261474609375,3.254852294921875,,,
r1,2-5s,118.0,3,0.5008918027862995,1.6501922607421875,6.60076904296875,,,
r1,2-5s,119.0,4,0.6220721631087943,2.0148239135742188,8.059295654296875,,,
r1,2-5s,120.0,2,0.6456575852684295,1.9197521209716797,3.8395042419433594,,,
r1,2-5s,121.0,1,0.13636044642973452,0.872528076171875,1.74505615234375,,,
r1,2-5s,122.0,1,1.855060965628631,6.392087936401367,12.784175872802734,,,
