variant,gt_bin,stage,subset,N_proposals,median_abs_log_width_gt_ratio,median_width_gt_ratio,median_width_sec,median_nearest_gt_center_distance_sec,median_best_gt_iou,median_audio_duration_sec
r1,0-2s,decoder_layer1,initial_center_le2s,21,2.2894993587327552,9.8699951171875,9.8699951171875,12.179908752441406,0.0,147.0
r1,0-2s,decoder_layer2,all,900,1.5889266525251518,4.898490905761719,4.898490905761719,51.05918884277344,0.0,213.0
r1,0-2s,decoder_layer2,initial_center_le1s,12,1.680136020486636,5.38812255859375,5.38812255859375,15.910850524902344,0.0,143.5
r1,0-2s,decoder_layer2,initial_center_le2s,21,1.5899530447055952,4.9035186767578125,4.9035186767578125,16.84503173828125,0.0,147.0
r1,0-2s,final_span,all,900,2.1625097905496027,8.692928314208984,8.692928314208984,47.858004570007324,0.0,213.0
r1,0-2s,final_span,initial_center_le1s,12,1.9909990499534933,7.361593246459961,7.361593246459961,11.060859680175781,0.0,143.5
r1,0-2s,final_span,initial_center_le2s,21,2.093825340449173,8.115901947021484,8.115901947021484,14.132591247558594,0.0,147.0
r1,2-5s,initial,all,3760,3.353291149829519,28.596694946289062,78.79110717773438,26.684566497802734,0.01253249188022708,188.5
r1,2-5s,initial,initial_center_le1s,128,2.9948937645571947,19.983248392740883,57.55062675476074,0.4315299987792969,0.04258716231254478,119.0
r1,2-5s,initial,initial_center_le2s,253,2.980135621037971,19.690486907958984,57.34666442871094,0.9859542846679688,0.04258716231254478,122.0
r1,2-5s,decoder_layer1,all,3760,1.4073006027688844,4.084913730621338,11.885040283203125,30.387821197509766,0.0,188.5
r1,2-5s,decoder_layer1,initial_center_le1s,128,1.1214773753453502,3.0694135030110674,8.388702392578125,5.753635406494141,0.0,119.0
r1,2-5s,decoder_layer1,initial_center_le2s,253,1.2034922277469027,3.3317317962646484,9.0784912109375,5.750251770019531,0.028476442163648794,122.0
r1,2-5s,decoder_layer2,all,3760,0.6746479304853609,1.6299031575520835,4.405433654785156,30.44969940185547,0.0,188.5
r1,2-5s,decoder_layer2,initial_center_le1s,128,0.6027538303414485,1.2835667928059897,4.008331298828125,8.346534729003906,0.0,119.0
r1,2-5s,decoder_layer2,initial_center_le2s,253,0.5925158617370027,1.4585189819335938,4.079254150390625,9.064048767089844,0.0,122.0
r1,2-5s,final_span,all,3760,1.0816700711203997,2.9391632080078125,8.293327331542969,28.747727870941162,0.0,188.5
r1,2-5s,final_span,initial_center_le1s,128,0.7677285916260489,2.154928207397461,6.2555084228515625,5.909067153930664,0.0,119.0
r1,2-5s,final_span,initial_center_le2s,253,0.8504362410615269,2.340667724609375,6.7137908935546875,5.477287292480469,0.0,122.0
r1,5-10s,initial,all,2730,2.6681204624376123,14.412854766845703,93.92501831054688,28.134990692138672,0.029414738338480104,240.0
r1,5-10s,initial,initial_center_le1s,128,2.420538296489024,11.252313450404575,74.13717651367188,0.5381317138671875,0.06975122747798516,153.0
r1,5-10s,initial,initial_center_le2s,229,2.4121179075097197,11.157566833496094,73.23519897460938,0.8162422180175781,0.0730822135872744,160.0
r1,5-10s,decoder_layer1,all,2730,0.77584938422084,2.12257809109158,14.476104736328125,30.208847045898438,0.0,240.0
r1,5-10s,decoder_layer1,initial_center_le1s,128,0.5265389129959405,1.5963150024414063,10.079473495483398,5.5250396728515625,0.020598722325185406,153.0
r1,5-10s,decoder_layer1,initial_center_le2s,229,0.5377359023915856,1.589227294921875,10.607894897460938,6.060150146484375,0.019302385735900134,160.0
r1,5-10s,decoder_layer2,all,2730,0.5231371902337592,0.8529261180332728,5.5726470947265625,29.633644104003906,0.0,240.0
r1,5-10s,decoder_layer2,initial_center_le1s,128,0.5604435327589021,0.6898675646100725,4.150733947753906,9.022331237792969,0.0,153.0
