row_type,gt_duration_bin_broad,matching_cell,short_qid,long_qid,short_vid,long_vid,short_audio_duration_sec,long_audio_duration_sec,short_gt_duration_sec,long_gt_duration_sec,short_gt_count,long_gt_count,short_query_word_count,long_query_word_count,short_r1_iou05,long_r1_iou05,long_minus_short_r1_iou05,short_r1_iou07,long_r1_iou07,long_minus_short_r1_iou07,short_oracle10_iou07,long_oracle10_iou07,long_minus_short_oracle10_iou07,short_qd_top1_center_hit_le_2s,long_qd_top1_center_hit_le_2s,long_minus_short_qd_top1_center_hit_le_2s,short_final_width_gt_ratio,long_final_width_gt_ratio,long_minus_short_final_width_gt_ratio,short_center_error_sec,long_center_error_sec,long_minus_short_center_error_sec,short_normalized_gt_width,long_normalized_gt_width,long_minus_short_normalized_gt_width
matched_pair,2-5s,2-3s|1|11-15w,Dn3buZWMzwY_1,lrKGCtSsAkA_2,Dn3buZWMzwY,lrKGCtSsAkA,99.0,240.0,2.0,2.0,1,1,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,95.0,93.0,12.0,127.0,115.0,0.020202020202020204,0.008333333333333333,-0.01186868686868687
matched_pair,2-5s,2-3s|1|11-15w,tIM-H2rdq8U_4,m_U506sf9p4_3,tIM-H2rdq8U,m_U506sf9p4,105.0,212.0,2.0,2.0,1,1,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5,0.5,52.0,4.5,-47.5,0.01904761904761905,0.009433962264150943,-0.009613656783468106
matched_pair,2-5s,2-3s|1|6-10w,-oy0BkpMGAk_3,CefFMA3klxk_3,-oy0BkpMGAk,CefFMA3klxk,80.0,299.0,2.0,2.0,1,1,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.5,4.0,3.5,59.5,56.0,0.025,0.006688963210702341,-0.01831103678929766
matched_pair,2-5s,2-3s|1|6-10w,2KR0C5ysO8o_2,1Og2TJ3bXW0_1,2KR0C5ysO8o,1Og2TJ3bXW0,137.0,300.0,2.0,2.0,1,1,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.5,2.0,10.5,22.5,12.0,0.014598540145985401,0.006666666666666667,-0.007931873479318733
matched_pair,2-5s,2-3s|1|6-10w,4UPOUGVMlEs_3,Rp4Ct_TQvAM_2,4UPOUGVMlEs,Rp4Ct_TQvAM,84.0,299.0,2.0,2.0,1,1,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.5,4.0,31.5,40.5,9.0,0.023809523809523808,0.006688963210702341,-0.017120560598821468
matched_pair,2-5s,2-3s|1|6-10w,4ftDFi4684Y_1,7P0N61TVOxE_3,4ftDFi4684Y,7P0N61TVOxE,115.0,299.0,2.0,2.0,1,1,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.5,3.5,12.0,100.5,88.5,0.017391304347826087,0.006688963210702341,-0.010702341137123747
matched_pair,2-5s,2-3s|1|6-10w,9vZDsGjyh5M_1,1GgEpRZDWN0_1,9vZDsGjyh5M,1GgEpRZDWN0,117.0,300.0,2.0,2.0,1,1,8,8,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.5,5.0,3.5,0.5,14.0,13.5,0.017094017094017096,0.006666666666666667,-0.010427350427350428
matched_pair,2-5s,2-3s|1|6-10w,AtkD-3GjXMw_1,5G6b_QWL3nY_4,AtkD-3GjXMw,5G6b_QWL3nY,132.0,246.0,2.0,2.0,1,1,6,6,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.5,5.0,3.5,0.5,47.0,46.5,0.015151515151515152,0.008130081300813009,-0.007021433850702143
matched_pair,2-5s,2-3s|1|6-10w,Dn3buZWMzwY_4,T32kii824pA_2,Dn3buZWMzwY,T32kii824pA,99.0,299.0,2.0,2.0,1,1,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,8.5,4.5,-4.0,1.5,216.5,215.0,0.020202020202020204,0.006688963210702341,-0.013513056991317864
matched_pair,2-5s,2-3s|1|6-10w,GOD8Bt5LfDE_3,Ba92IrXFvJo_1,GOD8Bt5LfDE,Ba92IrXFvJo,129.0,246.0,2.0,2.0,1,1,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,2.5,5.0,3.5,-1.5,0.015503875968992248,0.008130081300813009,-0.007373794668179239
