gt_duration_band,outcome,model,N,r2,standardized_betas,median_audio_duration_sec,median_normalized_gt_width,median_initial_width_gt_ratio
10-20s,r1_iou07,INITIAL_WIDTH_GT_ONLY,251,0.0036720697200178787,"{""initial_width_gt_ratio_median"": 0.060597604903310225}",268.0,0.056666666666666664,9.028962238962261
10-20s,r1_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,251,0.009746554239844052,"{""audio_duration_sec"": -0.157260523532893, ""initial_width_gt_ratio_median"": 0.19718599292371733}",268.0,0.056666666666666664,9.028962238962261
10-20s,r1_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,251,0.007248041385552573,"{""audio_duration_sec"": -0.12291646964110181, ""normalized_gt_width"": -0.16062193945882292}",268.0,0.056666666666666664,9.028962238962261
10-20s,oracle10_iou07,AUDIO_DURATION_ONLY,251,0.008107499870343537,"{""audio_duration_sec"": -0.09004165630608833}",268.0,0.056666666666666664,9.028962238962261
10-20s,oracle10_iou07,GT_ABSOLUTE_DURATION_ONLY,251,0.004229397531281709,"{""gt_duration_sec"": -0.06503381836615343}",268.0,0.056666666666666664,9.028962238962261
10-20s,oracle10_iou07,NORMALIZED_GT_WIDTH_ONLY,251,0.0013620602223489708,"{""normalized_gt_width"": 0.03690610006962561}",268.0,0.056666666666666664,9.028962238962261
10-20s,oracle10_iou07,INITIAL_WIDTH_GT_ONLY,251,0.002111484662470575,"{""initial_width_gt_ratio_median"": -0.04595089403342339}",268.0,0.056666666666666664,9.028962238962261
10-20s,oracle10_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,251,0.012343097078703957,"{""audio_duration_sec"": -0.20409719800504814, ""initial_width_gt_ratio_median"": 0.13131741621203047}",268.0,0.056666666666666664,9.028962238962261
10-20s,oracle10_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,251,0.013917158043520339,"{""audio_duration_sec"": -0.2143195861359402, ""normalized_gt_width"": -0.14578978707704582}",268.0,0.056666666666666664,9.028962238962261
20s+,final_width_gt_ratio,AUDIO_DURATION_ONLY,357,0.00946555140677352,"{""audio_duration_sec"": 0.09729106540054656}",299.0,0.21666666666666667,2.361420893267053
20s+,final_width_gt_ratio,GT_ABSOLUTE_DURATION_ONLY,357,0.03337223520662824,"{""gt_duration_sec"": -0.182680691937129}",299.0,0.21666666666666667,2.361420893267053
